facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0001,Nagpur Central,Public Washroom,6.1,4.7,45.5,Yes,584,5,2026-08-05,8.5,Medium
F0002,Sadar,School Washroom,5.9,5.9,54.6,Yes,106,4,2026-08-03,9.1,Medium
F0003,Dharampeth,Public Washroom,3.5,6.2,95.8,Yes,446,9,2026-06-22,3.1,High
F0004,Hingna,Public Washroom,10.0,1.0,21.0,Yes,424,1,2026-03-05,4.6,Low
F0005,Dharampeth,Office Washroom,3.0,7.2,54.5,Yes,133,7,2026-05-29,9.1,High
F0006,Dharampeth,Transit Washroom,6.8,5.0,30.6,Yes,496,3,2026-05-17,3.3,Medium
F0007,Nagpur Central,Office Washroom,4.8,5.0,59.3,Yes,674,5,2026-06-16,19.5,High
F0008,Sadar,Mall Washroom,5.2,6.8,32.4,Yes,874,7,2026-06-11,6.3,High
F0009,Civil Lines,School Washroom,2.5,8.5,74.7,Yes,334,5,2026-08-08,10.2,High
F0010,Sitabuldi,Mall Washroom,5.6,2.5,88.3,Yes,60,5,2026-03-20,14.8,Medium
F0011,Kamptee Road,Hospital Washroom,5.8,5.4,15.5,Yes,926,5,2026-02-28,26.6,High
F0012,Kamptee Road,Office Washroom,6.2,4.9,33.5,Yes,439,4,2026-05-15,9.6,Medium
F0013,Civil Lines,Hospital Washroom,5.5,5.5,33.5,Yes,130,4,2026-01-01,1.7,Medium
F0014,Civil Lines,Public Washroom,7.2,3.2,37.7,Yes,827,4,2026-05-04,2.1,Medium
F0015,Kamptee Road,Transit Washroom,8.3,3.5,48.8,Yes,586,1,2026-05-16,1.0,Low
F0016,Mihan,Transit Washroom,6.8,3.4,45.3,Yes,411,3,2026-07-11,2.8,Low
F0017,Sadar,Public Washroom,5.0,6.3,59.7,Yes,447,8,2026-01-31,6.7,High
F0018,Civil Lines,Transit Washroom,6.5,6.6,28.0,Yes,454,6,2026-03-09,1.8,Medium
F0019,Dharampeth,Public Washroom,3.1,8.3,77.3,Yes,296,6,2026-01-28,4.2,High
F0020,Sitabuldi,Hospital Washroom,7.4,2.6,42.7,Yes,431,4,2026-08-05,4.5,Low
F0021,Dharampeth,Office Washroom,2.6,9.0,100.0,Yes,612,8,2026-01-08,0.8,High
F0022,Manish Nagar,School Washroom,4.5,7.3,75.5,Yes,367,7,2026-07-19,3.6,High
F0023,Civil Lines,Mall Washroom,5.8,7.2,46.8,Yes,48,5,2026-01-30,5.0,Medium
F0024,Nagpur Central,Transit Washroom,7.6,1.3,27.5,Yes,205,1,2026-03-22,14.4,Low
F0025,Civil Lines,Public Washroom,7.5,3.9,17.1,Yes,244,3,2026-01-21,1.0,Low
F0026,Manish Nagar,School Washroom,5.5,4.0,61.5,Yes,566,5,2026-05-03,9.4,Medium
F0027,Dharampeth,Transit Washroom,8.3,4.1,0.0,No,564,4,2026-02-21,0.5,Medium
F0028,Mihan,Transit Washroom,4.7,6.5,70.4,No,761,7,2026-03-22,3.5,High
F0029,Manish Nagar,Public Washroom,5.6,3.7,71.9,Yes,404,4,2026-03-10,12.7,Medium
F0030,Kamptee Road,School Washroom,9.1,3.5,5.4,Yes,400,3,2026-05-16,3.1,Low
